EX-001,16,28,,,F,ES,97,16,28,18,91,,DIR,30,2,
EX-001,77,12,88,,F,ES,12,77,18,97,91,,DIR,30,2,
EX-001,16,2,10,,A,ES,19,8,97,42,67,,REB,32,2,
EX-001,5,12,19,,A,ES,67,19,88,8,42,,DIR,33,2,
EX-001,6,17,15,,A,ES,12,77,16,13,27,,REB,33,2,
EX-001,12,5,,,A,ES,8,42,67,19,97,,DIR,32,3,
YS-BA-062,67,97,8,,F,PP,8,42,67,19,97,,DIR,31,2,
YS-BA-062,97,67,19,,F,ES,13,67,97,19,27,,DIR,31,2,
YS-BA-062,28,81,16,,F,ES,28,8,42,16,81,,DIR,31,3,
YS-BA-062,19,67,97,,F,ES,97,91,18,67,19,,SCR,31,3,
YS-BA-062,19,17,,,F,ES,91,8,28,77,67,16,DIR,31,3,
YS-BA-062,91,17,15,,A,ES,8,77,12,88,42,,REB,33,2,
YS-BA-062,91,17,24,,A,SH,8,42,12,77,,,DIR,33,2,
YS-BA-062,22,,,,A,PP,8,42,77,12,88,,DIR,33,2,
YS-BA-062,13,90,,,A,ES,8,42,12,77,16,,DIR,33,2,
YS-BA-062,17,91,,,A,ES,24,42,16,28,81,,REB,33,2,
YS-BA-066,77,91,,,F,ES,91,18,77,12,88,,REB,26,2,
YS-BA-066,67,91,,,F,ES,91,67,97,19,18,,DIR,26,3,
YS-BA-066,12,88,,,F,ES,13,77,12,27,88,,DIR,26,3,
YS-BA-066,28,72,12,,A,ES,19,67,18,91,97,,DIR,32,1,
YS-BA-066,98,,,,A,ES,19,67,,91,18,,DIR,32,1,
YS-BA-066,33,,,,A,ES,19,91,18,97,67,,DIR,32,3,
YS-BA-066,16,28,,,A,ES,12,13,88,27,77,,DIR,32,3,
YS-BA-019,28,16,,,F,ES,28,13,16,27,77,,DEK,1,2,
YS-BA-019,77,,,,F,SH,77,91,18,67,,,DIR,1,2,
YS-BA-019,21,,,,A,ES,13,12,77,27,88,,DIR,33,1,
YS-BA-019,12,91,,,A,ES,77,12,13,97,27,,DIR,33,1,
YS-BA-019,19,,,,A,ES,,,,,,,DIR,33,1,
YS-BA-019,12,77,4,,A,ES,91,18,16,28,81,,DIR,33,2,
YS-BA-019,67,7,73,,A,ES,67,91,18,19,97,,REB,33,2,
YS-BA-019,58,73,7,,A,SH,18,91,67,19,,,DIR,33,2,
YS-BA-019,26,73,,,A,ES,8,97,67,52,19,,DIR,32,3,
YS-BA-061,77,91,12,,F,ES,91,18,12,77,88,,DIR,25,1,
YS-BA-061,19,67,97,,F,ES,67,97,13,27,19,,DEF,25,2,
YS-BA-061,88,77,27,,F,PP,27,12,77,18,88,,DIR,25,3,
YS-BA-061,11,16,7,,A,ES,16,28,18,91,81,,REB,32,1,
YS-BA-061,77,71,21,,A,ES,67,13,88,27,12,,REB,32,2,
YS-BA-061,71,16,,,A,ES,8,43,77,16,88,,DEF,32,2,
YS-BA-061,16,,,,A,ES,16,81,91,28,18,,DIR,32,2,
YS-BA-061,88,97,71,,A,ES,13,16,19,27,81,,DIR,32,2,
YS-BA-061,55,16,,,A,SH,8,43,67,,,,REB,32,3,
YS-BA-061,16,,,,A,ES,13,12,88,71,27,,DIR,32,3,
YS-BA-056,18,67,,,F,PP,91,16,67,18,19,,DIR,45,1,
YS-BA-056,12,88,,,F,PP,77,91,12,88,18,,DIR,45,2,
YS-BA-056,77,12,,,F,ES,12,27,13,77,88,,DIR,45,2,
YS-BA-056,97,28,,,F,ES,13,28,97,27,81,,DIR,45,3,
YS-BA-056,19,18,,,F,ES,16,91,18,67,19,,DIR,45,3,
YS-BA-056,38,,,,A,ES,91,18,77,88,12,,DEK,33,1,
YS-BA-056,19,14,22,,A,ES,88,77,12,13,27,,DIR,33,1,
YS-BA-056,14,5,27,,A,SH,19,91,28,88,,,DIR,33,2,
YS-BA-056,4,38,,,A,ES,19,91,28,88,,,DIR,33,2,
YS-BA-056,19,4,38,,A,ES,13,97,27,81,28,,DIR,33,3,
YS-BA-056,84,98,,,A,SH,19,13,27,28,,,DIR,33,3,
YS-BA-114,16,19,67,,F,PP,81,16,42,18,67,,DIR,1,1,
YS-BA-114,28,,,,F,ES,18,91,28,67,16,,DIR,1,1,
YS-BA-114,28,97,,,F,ES,28,91,97,18,67,,DIR,1,2,
YS-BA-114,28,,,,F,PP,91,97,18,81,28,,DIR,1,3,
YS-BA-114,10,9,,,A,ES,91,97,81,28,18,,DIR,32,1,
YS-BA-114,7,,,,A,PP,13,27,16,19,67,,DIR,32,3,
YS-BA-114,10,,,,A,ES,8,77,12,88,42,,DIR,32,3,
YS-BA-065,81,8,28,,F,PP,8,97,43,81,28,,DIR,26,1,
YS-BA-065,67,28,8,,F,ES,8,28,91,16,67,,DIR,26,2,
YS-BA-065,97,77,18,,F,ES,77,91,18,97,81,,DIR,26,3,
YS-BA-065,2,3,71,,A,ES,81,77,13,97,27,,DIR,33,1,
YS-BA-065,64,71,,,A,ES,8,43,97,81,28,,DIR,33,2,
YS-BA-065,71,64,44,,A,ES,67,16,91,19,18,,REB,33,2,
YS-BA-065,64,2,,,A,ES,13,12,88,27,77,,DIR,33,3,
YS-BA-002,55,78,,,A,ES,16,28,77,13,27,,DIR,32,1,
YS-BA-002,11,78,,,A,PP,8,43,77,97,,,REB,32,3,
YS-BA-002,97,,,,A,ES,28,16,77,27,13,,DIR,32,3,
YS-BA-002,78,21,,,A,ES,13,27,28,81,97,,DIR,32,3,
YS-BA-074,19,67,16,,F,ES,19,67,16,13,27,,DEF,30,1,
YS-BA-074,28,97,18,,F,ES,28,97,81,8,42,,DIR,30,2,
YS-BA-074,97,28,,,F,ES,28,97,81,13,27,,DIR,30,3,
YS-BA-074,14,7,,,A,ES,28,67,91,97,18,,DIR,33,1,
YS-BA-074,7,17,,,A,PP,97,28,18,27,,,DIR,33,2,
YS-BA-074,7,14,,,A,PP,81,97,18,27,,,DIR,33,2,
YS-BA-074,8,7,14,,A,ES,12,77,88,8,42,,DIR,33,3,
YS-BA-035,77,88,,,F,ES,28,77,88,18,91,,DIR,31,3,
YS-BA-035,22,39,,,A,ES,77,13,27,12,88,,DIR,32,1,
YS-BA-035,9,14,,,A,ES,28,42,97,81,8,,DIR,32,3,
HT-BA-01,20,,,,A,ES,27,13,67,81,19,,DIR,33,2,
HT-BA-01,4,10,1,,A,ES,81,97,8,42,,,DIR,33,2,
HT-BA-01,18,17,,,A,ES,97,67,81,8,42,,DIR,33,3,
HT-BA-01,17,16,,,A,SH,,,,,,,DIR,33,3,
HT-BA-01,9,18,7,,A,ES,13,12,19,88,,,DIR,33,3,
HT-BA-01,67,12,,,F,ES,12,67,18,9,,,DIR,1,2,
HT-BA-03,28,19,,,F,ES,28,77,18,42,,,DIR,30,2,
HT-BA-03,28,9,77,,F,ES,28,77,8,42,97,,DIR,30,3,
HT-BA-03,77,67,,,F,ES,8,77,67,28,13,,DIR,30,3,
HT-BA-03,14,17,6,,A,ES,91,18,88,28,12,,REB,33,1,
HT-BA-03,19,17,,,A,PP,8,77,13,,,,REB,33,2,
HT-BA-03,10,14,,,A,PP,81,19,18,8,,,REB,33,2,
HT-BA-03,7,16,14,,A,PP,91,77,97,42,,,DIR,32,2,
HT-BA-03,21,19,,,A,ES,97,13,91,77,28,,DIR,32,3,
HT-BA-02,81,97,,,F,PP,8,28,97,18,81,,DIR,31,2,
HT-BA-02,8,7,10,,A,ES,8,13,77,12,88,,DIR,32,2,
HT-BA-02,8,7,16,,A,ES,67,19,27,13,81,,DIR,32,2,
HT-BA-02,15,,,,A,SH,42,81,77,17,88,,DIR,32,3,
HT-BA-02,8,18,,,A,ES,8,13,77,67,19,28,EN,,3,
YS-BA-122,44,,,,A,SH,97,28,18,91,,,DIR,33,1,
YS-BA-122,98,72,28,,A,ES,12,77,88,8,42,,DIR,33,2,
YS-BA-122,88,33,77,,A,SH,77,88,19,13,,,DIR,33,2,
YS-BA-122,28,8,,,A,ES,28,9,19,27,42,,DIR,33,2,
YS-BA-122,88,42,,,A,PP,77,12,88,13,,,DIR,33,2,
YS-BA-122,33,42,,,A,ES,97,28,81,8,91,,DIR,32,3,
YS-BA-064,26,,,,A,ES,8,18,27,28,67,,DIR,32,1,
YS-BA-064,91,,,,A,ES,8,28,27,97,18,,SCR,32,2,
YS-BA-064,7,73,72,,A,ES,8,42,27,19,28,,DIR,32,3,
YS-BA-064,28,,,,F,ES,28,13,19,18,27,,DIR,1,3,
YS-BA-094,2,64,,,A,ES,28,97,81,13,18,,DIR,32,1,
YS-BA-094,18,11,,,A,ES,8,43,97,19,81,,DIR,33,2,
YS-BA-094,22,,,,A,ES,42,97,28,12,91,,DIR,33,3,
YS-BA-088,77,97,,,F,ES,77,97,13,27,19,,REB,85,2,
YS-BA-088,28,19,,,F,ES,77,8,28,19,27,,DIR,85,3,
YS-BA-088,28,27,,,F,ES,28,13,81,88,27,,EN,,3,
YS-BA-088,15,,,,A,ES,8,42,67,19,97,,DIR,32,2,
YS-BA-070,7,67,,,A,ES,8,42,97,77,28,,DIR,33,1,
YS-BA-070,88,58,,,A,ES,67,27,81,13,28,,DIR,33,1,
YS-BA-070,67,7,,,A,ES,8,27,81,88,19,,DIR,33,1,
YS-BA-070,12,26,91,,A,ES,8,42,19,97,77,,DIR,33,1,
YS-BA-070,67,12,,,A,ES,19,12,67,18,91,,DIR,32,2,
YS-BA-070,73,7,4,,A,ES,43,8,19,81,88,,DIR,32,3,
YS-BA-070,97,28,,,F,ES,8,97,77,42,28,,DIR,1,2,
ST-BA-004,81,18,67,,F,ES,42,67,28,18,12,,REB,32,2,
ST-BA-004,12,28,,,F,ES,28,42,12,67,18,,DIR,32,2,
ST-BA-004,87,27,42,,F,ES,28,42,97,13,27,,REB,32,2,
ST-BA-004,67,12,,,F,ES,67,28,12,91,18,,DIR,32,2,
ST-BA-004,28,19,,,F,ES,8,28,19,18,81,,DIR,32,3,
ST-BA-004,28,91,,,F,ES,28,91,81,88,42,,DIR,32,3,
ST-BA-004,96,9,,,A,ES,97,91,42,27,28,,DIR,32,2,
ST-BA-004,82,93,28,,A,ES,18,42,67,12,19,,REB,32,2,
ST-BA-004,16,6,,,A,ES,97,42,91,67,27,,REB,32,3,
ST-BA-004,34,93,97,,A,ES,42,19,91,12,28,,REB,32,3,
ST-BA-004,82,16,93,,A,ES,8,27,67,97,13,,DIR,32,3,
ST-BA-012,28,8,,,F,ES,27,91,67,28,12,,DIR,1,1,
ST-BA-012,88,28,18,,F,ES,8,18,28,88,81,,DIR,1,2,
ST-BA-012,12,28,19,,F,ES,91,12,19,18,28,,DIR,1,2,
ST-BA-012,42,97,,,F,ES,8,97,28,13,42,,DIR,1,2,
ST-BA-012,19,,,,F,ES,13,91,97,19,88,,DIR,1,3,
ST-BA-012,21,11,,,A,ES,18,13,12,97,19,,DIR,33,3,
ST-BA-018,28,13,,,F,ES,27,13,28,88,81,,DIR,20,1,
ST-BA-018,28,8,,,F,ES,28,97,18,27,42,,DEK,20,1,
ST-BA-018,42,27,88,,F,ES,13,28,97,42,27,,DIR,20,1,
ST-BA-018,18,67,12,,F,ES,18,67,8,12,28,,DIR,20,2,
ST-BA-018,97,19,,,F,ES,8,97,18,19,12,,DIR,20,2,
ST-BA-018,2,9,7,,A,ES,42,97,67,27,91,,DIR,32,2,
ST-BA-Q01,19,8,,,F,ES,8,19,42,88,91,,DIR,22,2,
ST-BA-Q01,97,27,19,,F,ES,27,97,12,18,28,,DIR,22,2,
ST-BA-Q01,58,56,,,A,ES,81,13,18,97,19,,REB,33,1,
ST-BA-Q01,56,42,28,,A,ES,8,12,67,18,28,,DIR,33,2,
ST-BA-Q01,0,,,,F,ES,,,,,,,SO,22,3,
ST-BA-S01,91,97,28,,F,ES,28,27,97,19,91,,DIR,31,1,
ST-BA-S01,81,28,97,,F,ES,8,28,81,27,88,,DIR,31,1,
ST-BA-S01,27,88,,,F,ES,91,27,42,67,88,,DIR,31,2,
ST-BA-S01,19,28,,,F,ES,19,28,,,,,DIR,31,3,
ST-BA-S01,56,6,,,A,ES,12,67,28,91,18,,DIR,32,2,
ST-BA-S01,44,3,,,A,ES,8,13,81,19,,,DIR,32,3,
ST-BA-S01,44,15,3,,A,ES,91,67,97,13,19,,DIR,32,3,
ST-BA-F01,67,97,,,F,ES,97,19,27,67,91,,DIR,31,1,
ST-BA-F01,12,13,,,F,ES,12,27,67,13,81,,DIR,31,1,
ST-BA-F01,97,81,19,,F,ES,8,27,67,81,19,,DIR,31,1,
ST-BA-F01,28,19,,,F,ES,28,19,13,8,12,,DIR,31,1,
ST-BA-F01,28,42,13,,F,ES,13,8,12,81,28,,DIR,31,2,
ST-BA-F01,28,81,,,F,ES,28,67,27,13,81,,DEK,31,2,
ST-BA-F01,28,8,,,F,ES,8,28,91,88,42,,DIR,31,3,
YS-BA-073,67,,,,F,ES,67,18,91,19,88,,DEK,35,2,
YS-BA-073,28,27,,,F,ES,28,42,13,27,97,,DEK,35,2,
YS-BA-073,19,,,,F,ES,8,97,42,19,13,,DIR,35,3,
YS-BA-073,28,91,,,F,ES,91,88,8,,,,DIR,35,3,
YS-BA-073,7,12,16,,A,ES,91,19,18,28,88,,REB,32,1,
YS-BA-073,10,84,33,,A,ES,18,97,42,27,28,,DIR,32,1,
YS-BA-099,27,18,28,,F,PP,27,18,28,12,77,,DIR,26,3,
YS-BA-099,19,,,,A,ES,8,13,42,12,77,,DIR,33,1,
YS-BA-099,11,13,19,,A,ES,91,19,27,88,42,,REB,33,2,
YS-BA-099,64,2,,,A,ES,8,13,28,12,81,,DIR,33,3,
YS-BA-099,98,,,,A,SH,67,13,81,91,,,REB,33,3,
YS-BA-129,12,13,,,F,SH,12,13,97,27,,,DEK,26,1,
YS-BA-129,67,81,97,,F,ES,67,8,77,81,27,,REB,26,3,
YS-BA-129,28,19,,,F,ES,28,8,77,91,81,,DEK,26,3,
YS-BA-129,67,88,,,F,ES,13,27,88,67,12,,DIR,26,3,
YS-BA-129,82,98,42,,A,ES,8,91,77,28,19,,SCR,32,1,
YS-BA-129,88,13,,,A,SH,81,8,18,88,,,DIR,32,2,
YS-BA-069,28,,,,F,ES,91,28,77,12,13,,DIR,25,1,
YS-BA-069,84,71,,,A,SH,,,,18,,,DIR,33,2,
YS-BA-069,97,7,,,A,SH,8,13,12,77,,,DIR,33,2,
YS-BA-069,19,,,,A,ES,27,28,81,18,19,,DIR,33,3,
YS-BA-069,19,11,,,A,ES,91,13,28,12,77,,DIR,33,3,
YS-BA-069,19,11,28,,A,ES,81,67,91,19,13,,DIR,33,3,
YS-BA-071,19,91,88,,F,ES,18,91,88,19,16,,DIR,29,2,
YS-BA-071,19,16,8,,F,ES,88,8,16,42,19,,REB,29,2,
YS-BA-071,28,42,,,F,ES,28,42,8,97,81,,DIR,29,3,
YS-BA-071,67,12,,,F,ES,67,12,77,18,91,,DIR,29,3,
YS-BA-071,17,11,22,,A,ES,8,42,77,12,67,,DIR,32,2,
YS-BA-071,22,,,,A,SH,13,16,28,27,,,DEF,32,2,
YS-BA-071,91,,,,A,ES,91,28,19,18,97,,REB,32,3,
YS-BA-071,24,22,9,,A,ES,12,13,27,77,67,,DIR,32,3,
SS-BA-06,81,28,,,F,ES,91,97,28,88,18,,DIR,1,3,
SS-BA-06,8,5,18,,A,ES,8,18,12,67,42,,DIR,33,1,
SS-BA-06,18,,,,A,ES,13,27,28,97,81,,DIR,33,2,
SS-BA-06,15,19,,,A,SH,13,91,88,28,,,DEF,33,2,
SS-BA-06,19,,,,A,SH,16,91,13,97,,,DIR,33,3,
SS-BA-06,12,15,,,A,ES,18,91,12,42,67,,DIR,33,3,
SS-BA-06,8,5,18,,A,ES,18,19,13,16,88,,DIR,33,3,
SS-BA-18,17,,,,A,ES,91,18,28,67,19,,DEK,32,3,
SS-BA-33,91,77,,,F,ES,91,12,77,18,19,,DIR,30,1,
SS-BA-33,27,97,28,,F,ES,27,13,97,81,28,,DIR,30,2,
SS-BA-33,14,15,12,,A,ES,18,42,67,81,97,,DEK,33,2,
SS-BA-33,19,3,11,,A,ES,91,18,88,19,16,,REB,33,3,
YS-BA-067,28,81,,,F,ES,28,27,81,13,97,,DIR,26,1,
YS-BA-067,28,81,42,,F,ES,28,97,8,42,81,,DIR,26,1,
YS-BA-067,97,28,,,F,ES,97,88,28,8,42,,DIR,26,2,
YS-BA-067,2,3,64,,A,ES,8,42,67,12,77,,DIR,32,1,
YS-BA-067,98,,,,A,ES,18,19,16,13,28,,DEK,32,1,
YS-BA-067,2,27,,,A,ES,8,42,67,12,77,,REB,32,2,
YS-BA-067,22,98,,,A,ES,88,19,16,13,27,,REB,32,2,
YS-BA-067,98,12,,,A,ES,8,42,67,12,77,,DIR,32,3,
YS-BA-067,11,,,,A,ES,91,19,18,88,16,,DIR,32,3,
YS-BA-027,16,88,97,,F,ES,97,13,16,88,27,,DIR,1,1,
YS-BA-027,67,12,27,,F,ES,67,13,12,19,27,,DIR,1,2,
YS-BA-027,19,67,28,,F,ES,67,28,18,91,19,,DIR,1,3,
YS-BA-027,67,72,,,A,ES,67,12,19,13,27,,REB,33,1,
YS-BA-027,69,67,73,,A,ES,91,67,12,19,18,,DEF,33,1,
YS-BA-027,67,19,,,A,ES,91,19,12,18,67,,DIR,33,1,
YS-BA-027,12,19,,,A,ES,18,91,16,88,97,,DIR,33,2,
YS-BA-011,19,55,93,,A,ES,67,19,18,12,91,,DIR,32,3,
YS-BA-011,19,13,,,A,PP,67,91,19,,,,DIR,32,3,
YS-BA-068,67,19,8,,F,ES,8,13,12,19,67,,DIR,30,3,
YS-BA-068,10,2,17,,A,ES,16,13,67,27,19,,DIR,33,2,
YS-BA-068,11,2,,,A,ES,91,18,16,88,81,,DIR,33,3,
YS-BA-042,97,16,88,,F,ES,97,16,88,18,13,,DIR,31,2,
YS-BA-042,12,22,,,A,ES,67,12,97,27,13,,DIR,32,2,
YS-BA-042,17,12,,,A,ES,8,42,16,77,88,,DIR,32,2,
YS-BA-042,22,,,,A,ES,8,27,77,67,97,,EN,,3,
YS-BA-078,28,42,16,,F,ES,8,42,16,28,77,,REB,85,1,
YS-BA-078,77,28,,,F,ES,77,28,16,91,18,,DIR,85,2,
YS-BA-078,77,,,,F,ES,77,28,16,91,18,,REB,85,2,
YS-BA-078,81,97,,,F,ES,88,97,91,18,81,,EN,,3,
YS-BA-078,97,,,,F,ES,97,81,18,88,91,,DIR,85,3,
YS-BA-078,10,,,,A,PP,18,91,88,97,,,SCR,33,3,
YS-BA-078,15,,,,A,ES,8,16,77,28,91,,DIR,33,3,
YS-BA-063,81,8,97,,F,ES,8,97,88,81,13,,REB,45,1,
YS-BA-063,19,67,12,,F,ES,8,13,12,67,19,,REB,45,2,
YS-BA-063,91,97,,,F,ES,91,18,88,97,81,,DIR,45,2,
YS-BA-063,67,12,,,F,ES,42,8,67,12,19,,DIR,45,2,
YS-BA-063,16,26,19,,F,ES,16,28,77,18,13,,DIR,29,3,
YS-BA-063,19,67,,,F,SH,81,67,18,19,,,DIR,29,3,
YS-BA-063,4,5,27,,A,PP,8,67,91,28,,,DIR,32,2,
YS-BA-063,22,19,4,,A,PP,8,13,88,12,,,DIR,32,3,
YS-BA-063,14,77,4,,A,ES,8,42,16,28,77,,DIR,32,3,
YS-BA-063,19,27,,,A,ES,42,91,28,16,77,,DIR,32,3,
YS-BA-075,91,,,,F,PP,91,13,81,97,88,,DIR,29,2,
YS-BA-075,67,19,12,,F,ES,67,8,12,18,19,,DIR,29,2,
YS-BA-075,81,97,91,,F,PP,91,18,67,97,81,,REB,29,3,
YS-BA-075,19,67,12,,F,ES,8,13,67,12,19,,DIR,29,3,
YS-BA-075,67,12,13,,F,ES,8,13,67,12,19,,DIR,29,3,
YS-BA-075,88,28,15,,A,ES,8,91,81,88,97,,DIR,33,2,
YS-BA-075,44,13,,,A,PP,8,13,19,,,,DIR,33,3,
YS-BA-075,72,82,16,,A,ES,8,18,97,88,67,,DIR,33,3,
YS-BA-072,97,13,,,F,ES,97,81,88,13,27,,DIR,29,1,
YS-BA-072,84,4,38,,A,ES,16,91,18,28,77,,REB,32,2,
YS-BA-072,84,98,,,A,ES,8,42,67,12,19,,DIR,32,3,
